fdc_id,brand_owner,gtin_upc,ingredients,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,modified_date,available_date,market_country,discontinued_date
344621,Kellogg Company US,1.00841E+13,"cooked brown rice (long grain brown rice, water), water, mushrooms, onions, rolled oats, mozzarella cheese (pasteurized part-skim milk, cheese cultures, salt, annatto for color, enzymes), hydrated bulgur wheat (water, bulgur wheat), cheddar cheese (pasteurized milk, salt, enzymes, cultures, annatto), soy protein concentrate, contains two percent or less of salt, parsley, modified vegetable gum, wheat gluten, garlic powder, yeast extract, autolyzed yeast extract, spices, citric acid, malted barley, natural flavors, annatto color, whey, maltodextrin, malted barley flour, dehydrated onion, dehydrated mushrooms, guar gum, turmeric color.",142,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Thu Nov 16 00:00:00 EST 2017,Mon Apr 01 00:00:00 EDT 2019,United States,
344656,Kellogg Company US,84059000037,"cooked brown rice (long grain brown rice, water), button mushrooms, rolled oats, mozzarella cheese (pasteurized part-skim milk, cultures, salt, enzymes), onions, water, hydrated wheat bulgur (water, bulgur wheat), crimini mushrooms, spices, portabella mushrooms, cheddar cheese (pasteurized milk, salt, enzymes, cultures, annatto color), contains two percent or less of salt, natural flavors, modified vegetable gum, garlic powder, yeast extract, citric acid, whey, malted barley, annatto color, malted barley flour, onion powder, mushroom powder, guar gum, annatto extract (color), turmeric extract (color), soy lecithin.",71,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Tue Dec 20 00:00:00 EST 2016,Mon Apr 01 00:00:00 EDT 2019,United States,
344657,Kellogg Company US,84059100058,"cooked brown rice (long grain brown rice, water), button mushrooms, rolled oats, mozzarella cheese (pasteurized part-skim milk, cultures, salt, enzymes), onions, water, hydrated wheat bulgur (water, bulgur wheat), crimini mushrooms, spices, portabella mushrooms, cheddar cheese (pasteurized milk, salt, enzymes, cultures, annatto color), contains two percent or less of salt, natural flavors, modified vegetable gum, garlic powder, yeast extract, citric acid, whey, malted barley, annatto color, malted barley flour, onion powder, mushroom powder, guar gum, annatto extract (color), turmeric extract (color), soy lecithin.",71,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Thu Jan 25 00:00:00 EST 2018,Mon Apr 01 00:00:00 EDT 2019,United States,
344744,Kellogg Company US,84059100089,"cooked brown rice (water, brown rice), onions, cooked black beans (black beans, water), whole kernel corn, water, red bell peppers, green chiles, soybean fiber, soy protein concentrate, canola oil, onion juice concentrate, contains two percent or less of soy protein isolate, salt, methylcellulose, spices, corn powder, dried cane syrup, onion powder, caramel color, dried green and red bell peppers, garlic powder, yeast extract, natural flavors, tomato powder, chipotle pepper, sugar, wheat gluten, citric acid.",71,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Thu Jan 25 00:00:00 EST 2018,Mon Apr 01 00:00:00 EDT 2019,United States,
344921,Kellogg Company US,84059000426,"cooked brown rice (water, long grain brown rice), onions, portabella mushrooms, crimini mushrooms, spinach, rolled oats, oat fiber, mozzarella cheese (pasteurized part-skim milk, cheese culture, salt, enzymes), water, contains two percent or less of salt, cooked wild rice (long grain wild rice, water), canola oil, soy protein isolate, garlic powder, methylcellulose, soy protein concentrate, natural flavors (contains wheat), yeast extract, caramelized sugar, garlic, onion powder, spices, torula yeast, sugar, wine solids, soy flour, caramel color, sunflower oil.",71,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Wed Nov 30 00:00:00 EST 2016,Mon Apr 01 00:00:00 EDT 2019,United States,
344922,Kellogg Company US,84059100010,"water, cooked black beans (black beans, water), cooked brown rice (water, brown rice), soy protein concentrate, onions, whole kernel corn, soy protein isolate, green chiles, canola oil, contains two percent or less of salt, bulgur wheat, spices, red bell peppers, black bean powder, methylcellulose, yeast extract, sugar, onion powder, tomato powder, caramel color, natural flavor, garlic powder, paprika (color), turmeric (color).",85,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Thu Nov 16 00:00:00 EST 2017,Mon Apr 01 00:00:00 EDT 2019,United States,
344923,Kellogg Company US,84059100102,"cooked brown rice (water, long grain brown rice), onions, portabella mushrooms, crimini mushrooms, spinach, rolled oats, oat fiber, mozzarella cheese (pasteurized part-skim milk, cheese culture, salt, enzymes), water, contains two percent or less of salt, cooked wild rice (long grain wild rice, water), canola oil, soy protein isolate, garlic powder, methylcellulose, soy protein concentrate, natural flavors (contains wheat), yeast extract, caramelized sugar, garlic, onion powder, spices, torula yeast, sugar, wine solids, soy flour, caramel color, sunflower oil.",71,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Thu Jan 25 00:00:00 EST 2018,Mon Apr 01 00:00:00 EDT 2019,United States,
344924,Kellogg Company US,84059100003,"cooked brown rice (water, long grain brown rice), water, whole kernel corn, carrots, onion, whole grain oats, green peppers, corn oil, red bell peppers, soy protein isolate, contains two percent or less of salt, soy sauce (water, soybeans, salt, wheat), onion powder, broccoli, gum blend (carrageenan, konjac flour), carrageenan, methylcellulose, garlic powder, black pepper.",85,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Mon Dec 19 00:00:00 EST 2016,Mon Apr 01 00:00:00 EDT 2019,United States,
344943,Kellogg Company US,1.00841E+13,"cooked brown rice (long grain brown rice, water), water, mushrooms, onions, rolled oats, mozzarella cheese (pasteurized part-skim milk, cheese cultures, salt, annatto for color, enzymes), hydrated bulgur wheat (water, bulgur wheat), cheddar cheese (pasteurized milk, salt, enzymes, cultures, annatto), soy protein concentrate, contains two percent or less of salt, parsley, modified vegetable gum, wheat gluten, garlic powder, yeast extract, autolyzed yeast extract, spices, citric acid, malted barley, natural flavors, annatto color, whey, maltodextrin, malted barley flour, dehydrated onion, dehydrated mushrooms, guar gum, turmeric color.",96,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Thu Nov 30 00:00:00 EST 2017,Mon Apr 01 00:00:00 EDT 2019,United States,
344944,Kellogg Company US,1.00841E+13,"water, cooked black beans (black beans, water), cooked brown rice (water, brown rice), soy protein concentrate, onions, whole kernel corn, hydrated bulgur wheat (water, bulgur wheat), soy protein isolate, green chiles, canola oil, contains two percent or less of salt, spices, red bell peppers, black bean powder, methylcellulose, yeast extract, sugar, onion powder, tomato powder, caramel color, natural flavor, garlic powder, paprika (color), turmeric (color).",96,g,1 patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,Thu Nov 16 00:00:00 EST 2017,Mon Apr 01 00:00:00 EDT 2019,United States,
